,matches,picks,position,bans,teams,kills,deaths,assists,gold,ten_min_gold,ten_min_lane_opponent_gold,challenges,win
4218,NA1_4251068195,Jhin,BOTTOM,Zeri,red,3,4,8,8415,3696,3981,"{'deathsByEnemyChamps': 4, 'hadAfkTeammate': 0, 'kda': 2.75, 'laningPhaseGoldExpAdvantage': -0.114714384078979, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.254124613380926, 'visionScoreAdvantageLaneOpponent': 0.467220664024353}",False
4219,NA1_4251068195,Karma,UTILITY,Jax,red,0,7,12,6004,2576,2758,"{'deathsByEnemyChamps': 7, 'hadAfkTeammate': 0, 'kda': 1.714285714285714, 'laningPhaseGoldExpAdvantage': -0.07421571016311601, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.13962983768189102, 'visionScoreAdvantageLaneOpponent': 1.214333653450012}",False
4220,NA1_4250965766,Ornn,TOP,Renata,blue,9,10,13,18818,3465,3926,"{'deathsByEnemyChamps': 10, 'hadAfkTeammate': 0, 'kda': 2.2, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.276764264170113, 'visionScoreAdvantageLaneOpponent': 1.101225733757019}",False
4221,NA1_4250965766,Khazix,JUNGLE,Elise,blue,16,10,7,16872,4209,3134,"{'deathsByEnemyChamps': 10, 'hadAfkTeammate': 0, 'kda': 2.3, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.252075504191076, 'visionScoreAdvantageLaneOpponent': 2.068650007247925}",False
4222,NA1_4250965766,Lissandra,MIDDLE,Fiora,blue,7,5,12,14132,3682,3118,"{'deathsByEnemyChamps': 5, 'hadAfkTeammate': 0, 'kda': 3.8, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.235711904460622, 'visionScoreAdvantageLaneOpponent': 1.463690757751464}",False
4223,NA1_4250965766,Kaisa,BOTTOM,Zeri,blue,9,12,9,16436,3313,3149,"{'deathsByEnemyChamps': 12, 'hadAfkTeammate': 0, 'kda': 1.5, 'laningPhaseGoldExpAdvantage': -0.016700565814971, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.18049463235339303, 'visionScoreAdvantageLaneOpponent': 1.180358529090881}",False
4224,NA1_4250965766,Thresh,UTILITY,Akshan,blue,1,10,13,9015,2121,2093,"{'deathsByEnemyChamps': 10, 'hadAfkTeammate': 0, 'kda': 1.4, 'laningPhaseGoldExpAdvantage': -0.052882552146911004, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.054953694824794, 'visionScoreAdvantageLaneOpponent': 1.519528985023498}",False
4225,NA1_4250965766,Sett,TOP,Lux,red,8,10,5,17005,3926,3465,"{'deathsByEnemyChamps': 10, 'hadAfkTeammate': 0, 'kda': 1.3, 'laningPhaseGoldExpAdvantage': -0.066998600959777, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.210615616584182, 'visionScoreAdvantageLaneOpponent': 0.9080790877342221}",True
4226,NA1_4250965766,Shaco,JUNGLE,Yuumi,red,17,8,13,16724,3134,4209,"{'deathsByEnemyChamps': 8, 'hadAfkTeammate': 0, 'kda': 3.75, 'laningPhaseGoldExpAdvantage': -0.207665801048278, 'maxLevelLeadLaneOpponent': 1, 'teamDamagePercentage': 0.286105716491978, 'visionScoreAdvantageLaneOpponent': 0.48340702056884705}",True
4227,NA1_4250965766,Kayn,MIDDLE,Tryndamere,red,2,11,12,14004,3118,3682,"{'deathsByEnemyChamps': 11, 'hadAfkTeammate': 0, 'kda': 1.272727272727272, 'laningPhaseGoldExpAdvantage': -0.294943451881408, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.128519888914984, 'visionScoreAdvantageLaneOpponent': 0.683204472064971}",True
4228,NA1_4250965766,Jhin,BOTTOM,RekSai,red,16,7,11,18371,3149,3313,"{'deathsByEnemyChamps': 7, 'hadAfkTeammate': 0, 'kda': 3.857142857142857, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.255585813178956, 'visionScoreAdvantageLaneOpponent': 0.847200214862823}",True
4229,NA1_4250965766,Bard,UTILITY,Hecarim,red,4,6,23,12243,2093,2121,"{'deathsByEnemyChamps': 6, 'hadAfkTeammate': 0, 'kda': 4.5, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 3, 'teamDamagePercentage': 0.119172964829898, 'visionScoreAdvantageLaneOpponent': 0.6580986976623531}",True
4230,NA1_4250198787,Vayne,TOP,Veigar,blue,7,12,7,11394,3181,3777,"{'deathsByEnemyChamps': 12, 'hadAfkTeammate': 0, 'kda': 1.166666666666666, 'laningPhaseGoldExpAdvantage': '0', 'maxLevelLeadLaneOpponent': '0', 'teamDamagePercentage': 0.15616525095508102, 'visionScoreAdvantageLaneOpponent': '0'}",True
4231,NA1_4250198787,Graves,JUNGLE,Hecarim,blue,17,3,8,16704,3804,3406,"{'deathsByEnemyChamps': 3, 'hadAfkTeammate': 0, 'kda': 8.333333333333334, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 4, 'teamDamagePercentage': 0.30642212186766205, 'visionScoreAdvantageLaneOpponent': 2.5170412063598633}",True
4232,NA1_4250198787,Annie,MIDDLE,,blue,3,4,15,10539,3095,3535,"{'deathsByEnemyChamps': 4, 'hadAfkTeammate': 0, 'kda': 4.5, 'laningPhaseGoldExpAdvantage': '0', 'maxLevelLeadLaneOpponent': '0', 'teamDamagePercentage': 0.23163127771413602, 'visionScoreAdvantageLaneOpponent': '0'}",True
4233,NA1_4250198787,Kaisa,BOTTOM,Morgana,blue,5,3,12,11304,3712,3193,"{'deathsByEnemyChamps': 3, 'hadAfkTeammate': 0, 'kda': 5.666666666666667, 'laningPhaseGoldExpAdvantage': '0', 'maxLevelLeadLaneOpponent': '0', 'teamDamagePercentage': 0.192077506724966, 'visionScoreAdvantageLaneOpponent': '0'}",True
4234,NA1_4250198787,Blitzcrank,UTILITY,Leona,blue,5,4,13,8542,2125,2223,"{'deathsByEnemyChamps': 4, 'hadAfkTeammate': 0, 'kda': 4.5, 'laningPhaseGoldExpAdvantage': '0', 'maxLevelLeadLaneOpponent': '0', 'teamDamagePercentage': 0.11370384273815201, 'visionScoreAdvantageLaneOpponent': '0'}",True
4235,NA1_4250198787,Malphite,TOP,Morgana,red,10,5,1,12961,3777,3181,"{'deathsByEnemyChamps': 5, 'hadAfkTeammate': 0, 'kda': 2.2, 'laningPhaseGoldExpAdvantage': '0', 'maxLevelLeadLaneOpponent': '0', 'teamDamagePercentage': 0.24386820092243502, 'visionScoreAdvantageLaneOpponent': '0'}",False
4236,NA1_4250198787,Volibear,JUNGLE,Zeri,red,4,8,9,9837,3406,3804,"{'deathsByEnemyChamps': 8, 'hadAfkTeammate': 0, 'kda': 1.625, 'laningPhaseGoldExpAdvantage': -0.11703807115554801, 'maxLevelLeadLaneOpponent': 0, 'teamDamagePercentage': 0.17045282378246102, 'visionScoreAdvantageLaneOpponent': 0.39729186892509405}",False
4237,NA1_4250198787,Viktor,MIDDLE,Katarina,red,8,4,4,12060,3535,3095,"{'deathsByEnemyChamps': 4, 'hadAfkTeammate': 0, 'kda': 3, 'laningPhaseGoldExpAdvantage': '0', 'maxLevelLeadLaneOpponent': '0', 'teamDamagePercentage': 0.24317002841186802, 'visionScoreAdvantageLaneOpponent': '0'}",False
4238,NA1_4250198787,Xayah,BOTTOM,Lux,red,2,10,4,9792,3193,3712,"{'deathsByEnemyChamps': 10, 'hadAfkTeammate': 0, 'kda': 0.6000000000000001, 'laningPhaseGoldExpAdvantage': '0', 'maxLevelLeadLaneOpponent': '0', 'teamDamagePercentage': 0.197126898617654, 'visionScoreAdvantageLaneOpponent': '0'}",False
4239,NA1_4250198787,Neeko,UTILITY,Shaco,red,2,10,3,6975,2223,2125,"{'deathsByEnemyChamps': 10, 'hadAfkTeammate': 0, 'kda': 0.5, 'laningPhaseGoldExpAdvantage': '0', 'maxLevelLeadLaneOpponent': '0', 'teamDamagePercentage': 0.14538204826558002, 'visionScoreAdvantageLaneOpponent': '0'}",False
4240,NA1_4250130793,Jax,TOP,Fiora,blue,7,4,1,12579,3760,2604,"{'deathsByEnemyChamps': 4, 'hadAfkTeammate': 0, 'kda': 2, 'laningPhaseGoldExpAdvantage': 0, 'maxLevelLeadLaneOpponent': 2, 'teamDamagePercentage': 0.173078010663599, 'visionScoreAdvantageLaneOpponent': 0.5594211220741271}",True
